Computer_Idn,SystemPerformance_Idn,MemScore,CPUScore,GraphicsScore,GamingScore,DiskScore
5921,5098,8.8,8.8,6.8,9.9,9.25
5932,4912,9.1,9.1,8.4,9.9,8.6
5942,5076,8.8,8.8,7.2,9.9,9
5943,4991,8.8,8.8,7.4,9.9,9
5945,4929,8.8,8.8,7.5,9.9,9
5946,5053,8.8,8.8,7.1,9.9,9
5947,5075,8.8,8.8,7.5,9.9,9
5956,4915,9.2,9.2,5.3,9.9,8.2
5970,5036,8.7,8.7,5.2,9.9,8.15
5975,4889,8.8,8.8,5.7,9.9,8.1
5978,5044,8.5,8.5,5.9,9.9,9.2
5981,4892,7.9,7.6,6.8,9.9,9.25
5985,4974,8.8,8.8,3.4,9.9,9.05
5994,4894,7.9,7.6,6.6,9.9,8.15
6001,4966,8.8,8.8,5.6,9.9,8.2
6004,4971,9.2,9.2,5.4,9.9,8.2
6012,5169,8.8,8.8,6.9,9.9,8.7
6013,5077,5.9,8.7,4.8,9.9,8.2
6018,5054,8.8,8.8,8.1,9.9,5.9
6025,4922,8.1,8.1,6.7,9.9,5.9
6031,4934,8.3,8.3,5.9,9.9,9.1
6036,4938,8.7,8.7,5.5,9.9,7.9
6038,4941,8.6,8.6,5.7,9.9,8.15
6048,5010,9,9,8,9.9,9.05
6052,4986,9.1,9.1,8.4,9.9,9.15
6055,5017,9.1,9.1,8.4,9.9,9
6057,4988,9,9,8,9.9,9.2
6058,4984,8.7,8.7,6.6,9.9,8.2
6062,4954,8.4,8.4,8,9.9,9
6063,4993,9.1,9.1,8,9.9,9.2
6065,4950,7.2,7.2,5.1,6.6,7.9
6066,4996,7.9,7.6,6.6,9.9,8.9
6067,4953,7.5,7.4,6.2,9.9,8.65
6076,4990,9.1,9.1,6.6,9.9,8.15
6078,4992,8.6,8.6,6.1,9.9,8.1
6080,5155,9.1,9.1,7.4,9.9,8.15
6085,4957,7.3,7.3,5.2,9.9,8.2
6086,4958,9.1,9.1,7.5,9.9,6.8
6091,4998,8.6,8.6,5.5,9.9,8.15
6094,5162,8.8,8.8,6.9,9.9,8.15
6097,4967,7.3,7.1,6.5,6.5,5.9
